Sun Oct 14 14:09:38 2018    profiling.txt

         11793505 function calls (11619950 primitive calls) in 79.280 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    77306    0.091    0.000    0.698    0.000 /home/jaurim/anaconda3/lib/python3.7/site-packages/numba/cuda/cudadrv/driver.py:1702(device_pointer)
     1693    0.015    0.000    0.685    0.000 /home/jaurim/anaconda3/lib/python3.7/site-packages/numba/lowering.py:297(lower_inst)
      275    0.002    0.000    0.622    0.002 /home/jaurim/anaconda3/lib/python3.7/site-packages/numpy/core/fromnumeric.py:882(argsort)
      275    0.617    0.002    0.617    0.002 {method 'argsort' of 'numpy.ndarray' objects}
    12813    0.063    0.000    0.615    0.000 /home/jaurim/anaconda3/lib/python3.7/site-packages/numpy/lib/arraypad.py:135(_append_const)
    77306    0.123    0.000    0.607    0.000 /home/jaurim/anaconda3/lib/python3.7/site-packages/numba/cuda/cudadrv/driver.py:1707(device_ctypes_pointer)
        5    0.000    0.000    0.607    0.121 /home/jaurim/anaconda3/lib/python3.7/site-packages/numba/cuda/compiler.py:334(get)
        5    0.000    0.000    0.606    0.121 /home/jaurim/anaconda3/lib/python3.7/site-packages/numba/cuda/cudadrv/nvvm.py:473(llvm_to_ptx)
     1258    0.004    0.000    0.599    0.000 /home/jaurim/anaconda3/lib/python3.7/site-packages/numpy/core/fromnumeric.py:2227(amax)
        5    0.581    0.116    0.581    0.116 /home/jaurim/anaconda3/lib/python3.7/site-packages/numba/cuda/cudadrv/nvvm.py:166(compile)
      275    0.003    0.000    0.558    0.002 /home/jaurim/anaconda3/lib/python3.7/site-packages/numpy/core/fromnumeric.py:760(sort)
     8542    0.019    0.000    0.534    0.000 /home/jaurim/anaconda3/lib/python3.7/site-packages/numpy/lib/arraypad.py:96(_do_prepend)
      275    0.534    0.002    0.534    0.002 {method 'sort' of 'numpy.ndarray' objects}
   721736    0.299    0.000    0.533    0.000 {built-in method builtins.isinstance}
     8542    0.093    0.000    0.493    0.000 /home/jaurim/anaconda3/lib/python3.7/site-packages/numpy/lib/arraypad.py:888(_normalize_shape)
     8542    0.016    0.000    0.477    0.000 /home/jaurim/anaconda3/lib/python3.7/site-packages/numpy/lib/arraypad.py:101(_do_append)
        1    0.000    0.000    0.452    0.452 /home/jaurim/anaconda3/lib/python3.7/site-packages/pylab.py:1(<module>)
      275    0.003    0.000    0.450    0.002 /home/jaurim/anaconda3/lib/python3.7/site-packages/PIL/Image.py:854(convert)
      550    0.011    0.000    0.434    0.001 /home/jaurim/anaconda3/lib/python3.7/site-packages/PIL/ImageFile.py:135(load)
     8110    0.026    0.000    0.412    0.000 /home/jaurim/anaconda3/lib/python3.7/site-packages/numba/cuda/compiler.py:295(__getitem__)
      648    0.003    0.000    0.408    0.001 /home/jaurim/anaconda3/lib/python3.7/site-packages/numba/lowering.py:439(lower_assign)
     4271    0.034    0.000    0.407    0.000 /home/jaurim/anaconda3/lib/python3.7/site-packages/numpy/lib/arraypad.py:948(_validate_lengths)
    59794    0.109    0.000    0.402    0.000 /home/jaurim/anaconda3/lib/python3.7/site-packages/numba/dummyarray.py:134(compute_index)
      275    0.399    0.001    0.399    0.001 {method 'decode' of 'ImagingDecoder' objects}
      364    0.005    0.000    0.395    0.001 /home/jaurim/anaconda3/lib/python3.7/site-packages/numba/lowering.py:756(lower_expr)
     1645    0.390    0.000    0.391    0.000 /home/jaurim/anaconda3/lib/python3.7/site-packages/llvmlite/binding/ffi.py:105(__call__)
    29897    0.177    0.000    0.390    0.000 /home/jaurim/anaconda3/lib/python3.7/site-packages/numba/cuda/cudadrv/driver.py:1146(__init__)
